  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 0012                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     6.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -1.500  -0.1694   0.00523   0.00077   0.0003   0.5406   0.2803
  -1.450  -0.1638   0.00521   0.00076   0.0002   0.5373   0.2854
  -1.400  -0.1582   0.00520   0.00075   0.0002   0.5327   0.2899
  -1.350  -0.1525   0.00520   0.00075   0.0002   0.5274   0.2934
  -1.300  -0.1468   0.00520   0.00074   0.0002   0.5234   0.2967
  -1.250  -0.1413   0.00518   0.00073   0.0002   0.5188   0.3039
  -1.200  -0.1356   0.00517   0.00073   0.0002   0.5147   0.3079
  -1.150  -0.1299   0.00517   0.00073   0.0002   0.5106   0.3107
  -1.100  -0.1243   0.00516   0.00072   0.0002   0.5061   0.3158
  -1.050  -0.1187   0.00515   0.00071   0.0002   0.5017   0.3207
  -1.000  -0.1130   0.00516   0.00071   0.0002   0.4965   0.3233
  -0.950  -0.1074   0.00515   0.00071   0.0002   0.4931   0.3277
  -0.900  -0.1017   0.00514   0.00070   0.0002   0.4891   0.3321
  -0.850  -0.0961   0.00514   0.00070   0.0002   0.4848   0.3361
  -0.800  -0.0904   0.00513   0.00069   0.0002   0.4806   0.3412
  -0.750  -0.0848   0.00512   0.00069   0.0001   0.4762   0.3467
  -0.700  -0.0792   0.00512   0.00069   0.0001   0.4714   0.3504
  -0.650  -0.0735   0.00512   0.00069   0.0001   0.4673   0.3544
  -0.600  -0.0679   0.00510   0.00068   0.0001   0.4638   0.3591
  -0.550  -0.0622   0.00510   0.00068   0.0001   0.4594   0.3634
  -0.500  -0.0566   0.00511   0.00068   0.0001   0.4542   0.3676
  -0.450  -0.0509   0.00510   0.00067   0.0001   0.4504   0.3723
  -0.400  -0.0452   0.00509   0.00067   0.0001   0.4464   0.3770
  -0.350  -0.0396   0.00510   0.00067   0.0001   0.4409   0.3803
  -0.300  -0.0339   0.00509   0.00067   0.0001   0.4373   0.3849
  -0.250  -0.0283   0.00509   0.00066   0.0001   0.4337   0.3895
  -0.200  -0.0226   0.00509   0.00067   0.0000   0.4290   0.3933
  -0.150  -0.0170   0.00510   0.00067   0.0000   0.4238   0.3974
  -0.100  -0.0113   0.00508   0.00066   0.0000   0.4201   0.4026
  -0.050  -0.0057   0.00508   0.00066   0.0000   0.4158   0.4071
  -0.000  -0.0000   0.00510   0.00067   0.0000   0.4102   0.4097
   0.050   0.0056   0.00509   0.00066   0.0000   0.4067   0.4157
   0.100   0.0113   0.00508   0.00066  -0.0000   0.4030   0.4206
   0.150   0.0169   0.00510   0.00067  -0.0000   0.3978   0.4233
   0.200   0.0226   0.00509   0.00067  -0.0000   0.3939   0.4285
   0.250   0.0282   0.00508   0.00066  -0.0000   0.3902   0.4338
   0.300   0.0339   0.00510   0.00067  -0.0000   0.3848   0.4367
   0.350   0.0395   0.00510   0.00067  -0.0001   0.3803   0.4417
   0.400   0.0452   0.00510   0.00067  -0.0001   0.3761   0.4456
   0.450   0.0508   0.00510   0.00067  -0.0001   0.3712   0.4503
   0.500   0.0565   0.00511   0.00068  -0.0001   0.3668   0.4548
   0.550   0.0621   0.00510   0.00068  -0.0001   0.3637   0.4588
   0.600   0.0678   0.00511   0.00068  -0.0001   0.3587   0.4636
   0.650   0.0734   0.00512   0.00068  -0.0001   0.3543   0.4670
   0.700   0.0791   0.00512   0.00069  -0.0001   0.3506   0.4717
   0.750   0.0847   0.00512   0.00069  -0.0001   0.3462   0.4762
   0.800   0.0903   0.00513   0.00069  -0.0001   0.3405   0.4805
   0.850   0.0960   0.00513   0.00070  -0.0001   0.3365   0.4849
   0.900   0.1017   0.00513   0.00070  -0.0002   0.3331   0.4897
   0.950   0.1073   0.00514   0.00070  -0.0002   0.3290   0.4939
   1.000   0.1130   0.00516   0.00071  -0.0002   0.3234   0.4971
   1.050   0.1186   0.00515   0.00071  -0.0002   0.3206   0.5017
   1.100   0.1243   0.00516   0.00072  -0.0002   0.3157   0.5066
   1.150   0.1299   0.00518   0.00073  -0.0002   0.3107   0.5103
   1.200   0.1355   0.00518   0.00073  -0.0002   0.3066   0.5147
   1.250   0.1412   0.00518   0.00073  -0.0002   0.3027   0.5196
   1.300   0.1468   0.00520   0.00074  -0.0002   0.2975   0.5230
   1.350   0.1525   0.00520   0.00075  -0.0002   0.2936   0.5276
   1.400   0.1581   0.00520   0.00075  -0.0002   0.2900   0.5322
   1.450   0.1637   0.00521   0.00076  -0.0002   0.2858   0.5365
   1.500   0.1694   0.00523   0.00077  -0.0002   0.2809   0.5404
