  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 0012                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     6.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.200   0.0227   0.00509   0.00066  -0.0000   0.3831   0.4175
   1.200   0.1358   0.00518   0.00073  -0.0002   0.2976   0.5028
   2.200   0.2487   0.00537   0.00088  -0.0004   0.2158   0.5877
   3.200   0.3609   0.00566   0.00113  -0.0004   0.1437   0.6754
   4.200   0.4726   0.00600   0.00148  -0.0003   0.0898   0.7627
   5.200   0.5839   0.00637   0.00190  -0.0001   0.0586   0.8434
   6.200   0.6939   0.00683   0.00240   0.0004   0.0391   0.9085
   7.200   0.8019   0.00737   0.00298   0.0013   0.0288   0.9547
   8.200   0.9073   0.00804   0.00362   0.0027   0.0224   0.9842
   9.200   1.0234   0.00885   0.00439   0.0014   0.0177   0.9959
  10.200   1.1452   0.00979   0.00529  -0.0014   0.0147   0.9992
  11.200   1.2463   0.01081   0.00629   0.0002   0.0124   1.0000
  12.200   1.3426   0.01183   0.00731   0.0026   0.0114   1.0000
  13.200   1.4379   0.01314   0.00865   0.0048   0.0099   1.0000
  14.200   1.5307   0.01450   0.01004   0.0071   0.0092   1.0000
  15.200   1.6141   0.01634   0.01193   0.0106   0.0080   1.0000
  16.200   1.6896   0.01814   0.01383   0.0151   0.0077   1.0000
  17.200   1.7417   0.02054   0.01634   0.0224   0.0074   1.0000
