  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 0012                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     5.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.200   0.0227   0.00509   0.00067  -0.0000   0.4069   0.4413
   1.200   0.1355   0.00518   0.00074  -0.0002   0.3178   0.5284
   2.200   0.2481   0.00538   0.00090  -0.0003   0.2331   0.6167
   3.200   0.3600   0.00568   0.00116  -0.0002   0.1563   0.7059
   4.200   0.4713   0.00605   0.00152  -0.0001   0.0987   0.7924
   5.200   0.5817   0.00647   0.00196   0.0003   0.0627   0.8692
   6.200   0.6910   0.00696   0.00249   0.0010   0.0423   0.9277
   7.200   0.7976   0.00757   0.00309   0.0022   0.0305   0.9670
   8.200   0.9069   0.00827   0.00375   0.0027   0.0236   0.9897
   9.200   1.0273   0.00917   0.00459   0.0004   0.0183   0.9968
  10.200   1.1491   0.01017   0.00555  -0.0025   0.0150   0.9998
  11.200   1.2426   0.01113   0.00650   0.0008   0.0133   1.0000
  12.200   1.3384   0.01225   0.00764   0.0032   0.0118   1.0000
  13.200   1.4323   0.01366   0.00907   0.0056   0.0101   1.0000
  14.200   1.5241   0.01506   0.01053   0.0081   0.0095   1.0000
  15.200   1.6071   0.01684   0.01237   0.0116   0.0087   1.0000
  16.200   1.6720   0.01904   0.01469   0.0176   0.0079   1.0000
  17.200   1.7229   0.02169   0.01747   0.0243   0.0077   1.0000
