  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 0012                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     6.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -0.200  -0.0226   0.00510   0.00066   0.0000   0.4171   0.3824
   0.800   0.0906   0.00513   0.00069  -0.0002   0.3319   0.4685
   1.800   0.2035   0.00529   0.00081  -0.0003   0.2463   0.5547
   2.800   0.3161   0.00553   0.00102  -0.0004   0.1709   0.6411
   3.800   0.4281   0.00585   0.00133  -0.0004   0.1102   0.7286
   4.800   0.5394   0.00622   0.00172  -0.0002   0.0686   0.8126
   5.800   0.6500   0.00664   0.00219   0.0001   0.0453   0.8851
   6.800   0.7592   0.00713   0.00273   0.0008   0.0328   0.9383
   7.800   0.8654   0.00776   0.00336   0.0021   0.0246   0.9738
   8.800   0.9747   0.00849   0.00405   0.0025   0.0197   0.9937
   9.800   1.0970   0.00940   0.00490  -0.0004   0.0160   0.9979
  10.800   1.2107   0.01037   0.00585  -0.0015   0.0135   1.0000
  11.800   1.3038   0.01138   0.00687   0.0017   0.0119   1.0000
  12.800   1.3996   0.01265   0.00813   0.0040   0.0102   1.0000
  13.800   1.4944   0.01391   0.00944   0.0061   0.0095   1.0000
  14.800   1.5822   0.01554   0.01110   0.0090   0.0085   1.0000
  15.800   1.6616   0.01740   0.01304   0.0130   0.0078   1.0000
  16.800   1.7222   0.01945   0.01520   0.0196   0.0076   1.0000
