  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 0012                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     5.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -0.200  -0.0226   0.00509   0.00067   0.0000   0.4415   0.4059
   0.800   0.0904   0.00513   0.00070  -0.0001   0.3538   0.4930
   1.800   0.2031   0.00528   0.00082  -0.0002   0.2661   0.5816
   2.800   0.3152   0.00554   0.00104  -0.0003   0.1859   0.6706
   3.800   0.4268   0.00589   0.00136  -0.0001   0.1199   0.7585
   4.800   0.5377   0.00629   0.00177   0.0001   0.0752   0.8403
   5.800   0.6475   0.00676   0.00227   0.0007   0.0489   0.9069
   6.800   0.7555   0.00733   0.00285   0.0016   0.0340   0.9530
   7.800   0.8610   0.00799   0.00349   0.0030   0.0254   0.9831
   8.800   0.9770   0.00877   0.00422   0.0018   0.0205   0.9958
   9.800   1.1006   0.00974   0.00513  -0.0013   0.0164   0.9988
  10.800   1.2060   0.01072   0.00610  -0.0007   0.0141   1.0000
  11.800   1.2997   0.01177   0.00716   0.0024   0.0124   1.0000
  12.800   1.3948   0.01309   0.00850   0.0047   0.0108   1.0000
  13.800   1.4883   0.01443   0.00988   0.0070   0.0100   1.0000
  14.800   1.5733   0.01622   0.01173   0.0103   0.0087   1.0000
  15.800   1.6522   0.01800   0.01360   0.0142   0.0084   1.0000
  16.800   1.7053   0.02040   0.01612   0.0216   0.0078   1.0000
